fips,county_name,snap_persons_total
1100161 DC FSP D.C. Treasury,35021,58175.0
2400101 MD FSP ALLEGANY CO SOC SVCS,3565,7637.0
2400301 MD FSP ANNE ARUNDEL CO SOC SV,5878,10044.0
2400501 MD FSP BALTIMORE CO SOC SVCS,10781,15539.0
2400901 MD FSP CALVERT CO SOC SVCS,944,1710.0
2401101 MD FSP CAROLINE CO SOC SVCS,644,1224.0
2401301 MD FSP CARROLL COUNTY SOC SVC,849,1965.0
2401501 MD FSP CECIL CO SOC SVCS,1538,3182.0
2401701 MD FSP CHARLES CO SOC SVCS,2414,4291.0
2401901 MD FSP DORCHESTER CO SOC SVCS,1427,2235.0
2402101 MD FSP FREDERICK CO SOC SVCS,1408,2732.0
2402301 MD FSP GARRETT CO SOC SVCS,851,2528.0
2402501 MD FSP HARFORD CO DSS,2080,4366.0
2402701 MD FSP HOWARD CO SOC SVCS,1114,2049.0
2402901 MD FSP KENT CO SOC SVCS,276,669.0
2403101 MD FSP MONTGOMERY CO SOC SVCS,7783,11863.0
2403306 MD FSP PRINCE GEORGES CO SOC,12067,17727.0
2403501 MD FSP QUEEN ANNES CO SOC SVC,456,1036.0
2403701 MD FSP ST MARYS CO SOC SVCS,1554,3044.0
2403901 MD FSP SOMERSET CO SOC SVCS,727,1850.0
2404101 MD FSP TALBOT CO SOC SVCS,459,1073.0
2404301 MD FSP WASH CO SOC SVCS,3044,5987.0
2404501 MD FSP WICOMICO CO SOC SVCS,1964,4311.0
2404701 MD FSP WORCESTER CO DSS,913,1824.0
2451036 MD FSP BALTIMORE CITY,105291,140776.0
5100102 VA FSP ACCOMACK CO DSS,1091,3399.0
5100301 VA FSP ALBEMARLE CO DSS,595,1702.0
5100701 VA FSP AMELIA CO DPW,165,505.0
5100901 VA FSP AMHERST CO DSS,267,1413.0
5101102 VA FSP APPOMATTOX CO DSS,361,1168.0
5101308 VA FSP ARLINGTON CO DPW,1989,3011.0
5101701 VA FSP BATH CO DSS,65,236.0
5101902 VA FSP BEDFORD CO DEPT. S.S,510,1758.0
5102101 VA FSP BLAND CO DSS,84,434.0
5102301 VA FSP BOTETOURT CO DSS,148,682.0
5102502 VA FSP DIR BRUNSWICK DSS,578,2099.0
5102701 VA FSP BUCHANAN CO DSS FS SEC,1445,4659.0
5102901 VA FSP BUCKINGHAM DSS,369,1498.0
5103101 VA FSP CAMPBELL CO DPW,789,2966.0
5103301 VA FSP CAROLINE CO DSS,456,1656.0
5103501 VA FSP CARROLL COUNTY DSS,638,2202.0
"5103601 VA FSP DIR, CHARLES CY DSS",197,556.0
5103701 VA FSP CHARLOTTEE CO DPW,374,1390.0
5104101 VA FSP CHESTERFIELD-COL HT,1656,3842.0
5104301 VA FSP CLARKE CO DSS,72,266.0
5104501 VA FSP CRAIG CO DSS,33,240.0
5104702 VA FSP CULPEPER CO DSS,466,1422.0
5104901 VA FSP CUMBERLAND CO DSS,344,783.0
5105101 VA FSP DICKENSON CO DSS,861,3613.0
5105302 VA FSP DINWIDDIE DSS,542,1419.0
5105701 VA FSP ESSEX COUNTY DSS,161,456.0
5105915 VA FSP FAIRFAX DHD C/O FAE,5575,8952.0
5106102 VA FSP FAUQUIER CO DPW,290,938.0
5106301 VA FSP FLOYD CO DPW,207,836.0
5106502 VA FSP FLUVANNA CO DSS,177,616.0
5106701 VA FSP FRANKLIN COUNTY DSS,682,1806.0
5106902 VA FSP FREDERICK CO DSS,244,847.0
5107101 VA FSP GILES CO DSS,321,1257.0
5107301 VA FSP GLOUCESTER CO DSS,563,1548.0
5107502 VA FSP GOOCHLAND CO DSS,187,558.0
5107701 VA FSP GRAYSON CO DSS,297,1400.0
5107901 VA FSP GREENE COUNTY WEL DEPT,177,520.0
5108102 VA FSP GREENSVILLE EMPORIA,759,2207.0
5108302 VA FSP HALIFAX CO.,1234,3282.0
5108501 VA FSP HANOVER CO DSS,257,864.0
5108702 VA FSP HENRICO CO DPW,2275,4961.0
5108902 VA FSP HENRY CO DSS,730,2383.0
5109101 VA FSP HIGHLAND CO DSS,33,93.0
5109302 VA FSP ISLE OF WIGHT CO DSS,629,1724.0
5109502 VA FSP JAMES CITY CO DSS,412,1206.0
5109702 VA FSP KING AND QUEEN DPW,134,384.0
5109901 VA FSP KING GEORGE CO DPW,210,672.0
5110101 VA FSP KING WILLIAM CO DSS,170,411.0
5110301 VA FSP DIR LANCASTER CO DSS,400,1006.0
5110501 VA FSP LEE CO DSS,1277,5584.0
5110701 VA FSP LOUDOUN CO DPW,426,1067.0
5110902 VA FSP LOUISA CO DPW,537,1586.0
5111102 VA FSP LUNENBURG CO DPW,304,1095.0
5111301 VA FSP MADISON CO.,158,561.0
5111501 VA FSP MATHEWS CO DSS,147,453.0
5111702 VA FSP MECKLENBURG CO DPW,494,2066.0
5111901 VA FSP DIR MIDDLESEX CO DSS,208,586.0
5112101 VA FSP MONTGOMERY CO DSS,1105,3470.0
5112501 VA FSP NELSON CO DSS,357,1170.0
5112701 VA FSP NEW KENT CO DSS,141,279.0
5113101 VA FSP NORTHAMPTON CO DSS,672,2495.0
5113301 VA FSP NORTHUMBERLAND CO DSS,236,792.0
5113502 VA FSP NOTTOWAY CO DSS,500,1631.0
5113701 VA FSP ORANGE CO DPW,297,1075.0
5113901 VA FSP PAGE COUNTY DSS,234,971.0
5114101 VA FSP PATRICK CO DSS,358,1141.0
5114301 VA FSP PITTSYLVANIA CO DSS,957,3567.0
5114502 VA FSP POWHATAN CO DSS,100,277.0
5114702 VA FSP PRINCE EDWARD DSS,576,1946.0
5114902 VA FSP PRINCE GEORGE CO DSS,276,784.0
5115302 VA FSP PRINCE WILLIAM CO DSS,1613,3292.0
5115501 VA FSP PULASKI CO DSS,927,3346.0
5115702 VA FSP RAPP CO DEPT OF SS,58,223.0
5115901 VA FSP RICHMOND CO DSS,237,625.0
5116101 VA FSP ROANOKE COUNTY DPW,595,2008.0
5116302 VA FSP ROCKBRIDGE AREA DSS,658,2034.0
5116503 VA FSP HARRISONBURG/ROCKINGHAM SSD,320,1480.0
5116702 VA FSP RUSSELL CO DPW,1118,4539.0
5116901 VA FSP SCOTT D SS,889,3363.0
5117101 VA FSP SHENANDOAH CO DPW,341,1181.0
5117302 VA FSP SMYTH COUNTY DSS,939,3570.0
5117502 VA FSP SOUTHAMPTON CO DPW,710,2096.0
5117702 VA FSP SPOTSYLVANIA CO DSS,305,1188.0
5117901 VA FSP STAFFORD CO DSS,232,768.0
5118101 VA FSP SURRY CO DSS,188,521.0
5118301 VA FSP SUSSEX SOC SER DEPT,661,1601.0
5118501 VA FSP TAZEWELL CO DPW,1875,6435.0
5118702 VA FSP WARREN CO DPW,295,1043.0
5119102 VA FSP WASHINGTON CO. DSS,691,3492.0
5119301 VA FSP WESTMORELAND CO,482,1422.0
5119502 VA FSP WISE CO DPW,2241,7463.0
5119702 VA FSP WYTHE CO DSS,603,2868.0
5119902 VA FSP YORK POQUOSON SOC SRVS,368,1154.0
5151008 VA FSP CCI/ALEXANDRIA,2029,3213.0
5152001 VA FSP BRISTOL CITY DPW,733,2286.0
5154002 VA FSP CHARLTSVLE CITY DSS,1453,2942.0
5155003 VA FSP CHESAPEAKE CITY DPW,3790,7199.0
5156001 VA FSP CLIFTON FORGE DPW,192,734.0
5158001 VA FSP COVINGTON CITY DPW,489,2054.0
5159001 VA FSP CITY OF DANVILLE,1974,5029.0
5162002 VA FSP FRANKLIN CITY OF DPW,528,1503.0
5163002 VA FSP FREDERICKSBURG DPW,336,953.0
5164001 VA FSP GALAX CITY DSS,273,904.0
5165009 VA FSP HAMPTON CITY DPW,3349,6792.0
5166001 VA FSP HARRISONBURG DPW,595,1190.0
5167002 VA FSP HOPEWELL CITY DPW,1080,2472.0
5168001 VA FSP Lynchburg,2145,4918.0
5168301 VA FSP MANASSAS CITY DSS,171,515.0
5168501 VA FSP CITY MANASSAS PARK DSS,126,277.0
5169001 VA FSP MARTINSVILLE CITY DSS,618,1349.0
5170011 VA FSP NEWPORT NEWS,8160,15034.0
5171009 VA FSP NORFOLK CITY OF DPW,17309,29297.0
5172001 VA FSP NORTON DPW,368,969.0
5173001 VA FSP PETERSBURG DSS,2937,6504.0
5174002 VA FSP PORTSMOUTH CITY DPW,7205,12841.0
5175002 VA FSP RADFORD CITY DPW,172,630.0
5176012 VA FSP RICHMOND CITY DSS,18460,27893.0
5177002 VA FSP ROANOKE CITY DSS,4902,9330.0
5179002 VA FSP STAUNTON-AUGUSTA DSS,1198,3108.0
5180002 VA FSP SUFFOLK BUR SOC SERV,2392,5606.0
5181002 VA FSP VA BEACH DEPT OF SOC S,3550,9015.0
5182002 VA FSP WAYNESBORO DSS,465,1143.0
5183002 VA FSP WILLIAMSBURG CITY DPW,96,311.0
5184002 VA FSP WINCHESTER DSS,265,845.0
